LOCATION,Country,Value,GDPPerCapita
AUS,Australia,7.3,51812.15404
AUT,Austria,7.1,48105.36462
BEL,Belgium,6.9,44594.37811
CAN,Canada,7.4,43241.61783
CZE,Czech Republic,6.7,22762.19714
DNK,Denmark,7.6,60908.83513
FIN,Finland,7.6,49041.34226
FRA,France,6.5,38625.06738
DEU,Germany,7,45723.6441
GRC,Greece,5.4,17676.19248
HUN,Hungary,5.6,15899.14828
ISL,Iceland,7.5,59260.88714
IRL,Ireland,7,83812.80297
ITA,Italy,6,31676.2021
JPN,Japan,5.9,38867.9854
KOR,Korea,5.9,31489.1227
LUX,Luxembourg,6.9,115873.6026
MEX,Mexico,6.5,8346.702379
NLD,Netherlands,7.4,52304.05739
NZL,New Zealand,7.3,41791.79309
NOR,Norway,7.6,67294.47698
POL,Poland,6.1,15656.18273
PRT,Portugal,5.4,22439.87687
SVK,Slovak Republic,6.2,19156.88961
ESP,Spain,6.3,27057.16352
SWE,Sweden,7.3,51925.71376
CHE,Switzerland,7.5,86601.55641
TUR,Turkey,5.5,8538.16906
GBR,United Kingdom,6.8,40284.63846
USA,United States,6.9,63543.57779
BRA,Brazil,6.4,6796.844542
CHL,Chile,6.5,13231.70421
EST,Estonia,5.7,23312.27633
ISR,Israel,7.2,43610.52033
LVA,Latvia,5.9,17619.95239
RUS,Russia,5.8,10126.72179
SVN,Slovenia,5.9,25179.66717
ZAF,South Africa,4.7,5090.715025
